"","ID","Symbol","Entrez_Gene_ID","Chromosome","Cytoband","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"55","ILMN_1775814","GHR",2690,"5","5p12c",-3.1060843373494,6.61711445783133,-25.5706053805999,1.21990595401673e-59,1.03137503385051e-56,125.380393053358
"56","ILMN_1685917","EMCN",51705,"4","4q23c",-3.69450602409638,6.7713734939759,-25.4056450714979,2.88657532363821e-59,2.39688843837816e-56,124.525250873369
"57","ILMN_1789463","FXYD1",5348,"19","19q13.12a",-3.06036144578313,6.81307228915663,-25.3679170977845,3.5167001304085e-59,2.86888694849114e-56,124.329197634002
"58","ILMN_1766914","MFAP4",4239,"17","17p11.2e",-3.37957831325301,11.7314156626506,-25.3446843666321,3.97172200251866e-59,3.184225398571e-56,124.20838090973
"59","ILMN_1751062","SCARA5",286133,"8","8p21.1e-p21.1d",-4.22616867469879,6.57738554216867,-25.2611598426119,6.15451846213406e-59,4.85059505913955e-56,123.773475749527
"60","ILMN_1695157","CA4",762,"17","17q23.1a",-5.49026506024096,8.9475421686747,-25.2171184676546,7.75605901878903e-59,6.0109457395615e-56,123.543806529751
"61","ILMN_2049184","DNASE1L3",1776,"3","3p14.3a",-4.66668674698794,7.21068072289157,-25.2114381667995,7.9910510829899e-59,6.09153894031197e-56,123.514167022263
"62","ILMN_1748206","C20orf160",140706,"20","20q11.21b",-3.03077108433735,7.85819277108434,-25.2081864589102,8.12877830256975e-59,6.09658372692731e-56,123.497197974824
"63","ILMN_1750790","GSTM5",2949,"1","1p13.3b",-2.857,6.13500602409639,-24.7936767320767,7.25558192256539e-58,5.3553104666554e-55,121.323267237016
"64","ILMN_1720501","ABCA9",10350,"17","17q24.2c",-2.42961445783133,6.11406024096386,-24.7149606493444,1.10214480218222e-57,8.00777082835517e-55,120.908003714828
"65","ILMN_1764030","CCL23",6368,"17","17q12b",-3.45422891566264,5.97534337349398,-24.4735670918796,3.99125201128956e-57,2.85528028499946e-54,119.629685586026
"66","ILMN_1672102","PTPRB",5787,"12","12q15d",-3.15843373493975,7.47606024096386,-24.4599483622503,4.29271766693777e-57,3.02441471988798e-54,119.557347938763
"67","ILMN_1719236","CDH5",1003,"16","16q21e",-2.84597590361445,9.77690361445783,-24.4476713768908,4.58404082675626e-57,3.18146117080845e-54,119.492117101378
"68","ILMN_1796094","CD36",948,"7","7q21.11c",-4.26406024096385,8.51910240963855,-24.4155805030595,5.44283673385745e-57,3.7219398253584e-54,119.321520119889
"69","ILMN_1805842","FHL1",2273,"X","Xq26.3b",-3.47639759036144,8.70372891566265,-24.3789373767712,6.62291299123001e-57,4.45755173782974e-54,119.12656424202
"70","ILMN_2319326","ADARB1",104,"21","21q22.3e",-2.49908433734939,8.04448192771084,-24.3764909451389,6.71029293866843e-57,4.45755173782974e-54,119.113542227769
"71","ILMN_1660890","ACADL",33,"2","2q34b",-3.36992771084337,5.92243373493976,-24.2413662771742,1.38565369518032e-56,9.07505589096972e-54,118.393118710044
"72","ILMN_1662419","COX7A1",1346,"19","19q13.12b",-2.59848192771084,9.77427710843373,-24.1365188154568,2.43604201178736e-56,1.57327713261267e-53,117.832529157375
"73","ILMN_1777362","SYT15",83849,"10","10q11.22a",-2.26989156626506,6.77077710843373,-24.1036886265543,2.90757919569587e-56,1.85208811780627e-53,117.656709435745
