"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"120","DPEP2",2.41087603078357,8.27966765830265,17.4690108367195,2.16464183639867e-34,3.51483718185234e-32,67.7427079589761
"121","STX1A",-2.4862375782159,7.19432389464618,-17.443252248845,2.4532048047078e-34,3.9504707123745e-32,67.6181428324925
"122","JARID1B",-1.2396901246217,10.3818841578666,-17.3924309958008,3.14099440405293e-34,5.01657999696486e-32,67.3721304090772
"123","LOC648470",2.02839446836596,8.55242253826372,17.3554428292102,3.760744949147e-34,5.95757035236823e-32,67.1928739113018
"124","CPA3",3.23038034567672,9.56247471811443,17.3533780538492,3.79875932770106e-34,5.96926012098832e-32,67.1828622269244
"125","PPP1R14A",2.05491887715456,10.3531820347638,17.3259107818042,4.34279275591721e-34,6.76954534792374e-32,67.049627397342
"126","ITM2A",1.78177941581821,8.1923940715944,17.2986713047448,4.95969451109057e-34,7.66981329750791e-32,66.9174029580541
"127","CCL23",2.20788440621934,7.7736731955112,17.2890463955823,5.19813469091393e-34,7.9752483820833e-32,66.8706597231204
"128","GPT2",-2.32072771005645,9.05686543105399,-17.2831657299503,5.34945529236341e-34,8.08515992083707e-32,66.8420945719147
"129","MGC34774",2.77205760242524,6.74246663302028,17.2815793469774,5.39102907017806e-34,8.08515992083707e-32,66.8343880147192
"130","INMT",3.55940858306742,10.8018105495628,17.2814567261544,5.3942560416157e-34,8.08515992083707e-32,66.8337923165319
"131","TMEM88",2.11637908090228,7.08449999469095,17.2770020659985,5.51281390307882e-34,8.19978464896876e-32,66.8121500585521
"132","CLEC12A",2.05631157167904,6.67667083178674,17.2615663398125,5.94426455960529e-34,8.77454507150827e-32,66.7371385769411
"133","MT1M",3.92246346060533,8.52032550279725,17.2330470647799,6.83274206512298e-34,1.00102239954076e-31,66.598466832323
"134","TIE1",1.66855945603599,7.11565920681197,17.1816443009235,8.78507424321042e-34,1.27744157932056e-31,66.3482666176048
"135","AQP4",2.75743799461399,7.63676534061542,17.1708878015217,9.25985767088048e-34,1.33650612383042e-31,66.2958676303996
"136","ZFHX1B",1.90490703577988,7.36165806216766,17.1491217555301,1.03009913886741e-33,1.47584424417878e-31,66.1897922151861
"137","KL",2.188087090582,6.79988076967348,17.137784803606,1.08890906712704e-33,1.54871483014382e-31,66.1345185980287
"138","PPAP2B",1.69574537392876,8.41054919387077,17.1116563742265,1.23762983702658e-33,1.74747951988862e-31,66.0070669002876
"139","SPTBN1",1.74689285422842,8.67105808809127,17.0822914776023,1.42929218348604e-33,2.00357972627521e-31,65.8637251946502
"140","FLJ22184",-2.34162525178253,7.63211777631938,-17.0800728033411,1.44493200110521e-33,2.0110357172525e-31,65.8528905446602
"141","SLC31A2",2.06800938424958,9.6359001738227,17.0700172284957,1.51800048982447e-33,2.09774748540637e-31,65.8037774746798
"142","PEBP4",3.93075743809221,8.57528690492297,17.0610045996031,1.58664203314079e-33,2.17574361414937e-31,65.7597474867721
"143","PTPRM",1.81048153035609,9.35680043697891,17.059707619424,1.59677360443089e-33,2.17574361414937e-31,65.7534104213409
"144","AP1S2",1.68128901785723,9.86353203643831,17.0509115225403,1.66722336661605e-33,2.25596161795234e-31,65.7104269585071
"145","SOSTDC1",3.45797566392218,7.47414328297922,17.0215236910832,1.92605874474115e-33,2.5882244580194e-31,65.5667481541357
"146","GPM6B",2.17590569980559,6.62044852986981,16.9985960106416,2.15575830283468e-33,2.87705140621464e-31,65.4545778683959
"147","MS4A7",2.41076537448,9.34582122572046,16.9966002555354,2.17701089633958e-33,2.88565015749502e-31,65.444810801076
